iter	RMSE
0	0.9928291634
1	0.9780341369
2	0.963535627
3	0.9512770759
4	0.9385083536
5	0.9253709043
6	0.914110755
7	0.9044215525
8	0.8922552089
9	0.8820172568
10	0.8721161202
11	0.8629746397
12	0.8540278191
13	0.8459818605
14	0.8381145501
15	0.8313976494
16	0.8254802217
17	0.8179954431
18	0.8110149008
19	0.8039933321
20	0.7985545603
21	0.7931463067
22	0.787858933
23	0.7823098715
24	0.7768537728
25	0.7719895852
26	0.7668281784
27	0.761877385
28	0.7567471061
29	0.7524712316
30	0.7481488347
31	0.743727646
32	0.7397135115
33	0.7358905507
34	0.731762027
35	0.7283766091
36	0.7239823482
37	0.7202247253
38	0.7161462186
39	0.7129063216
40	0.7103078368
41	0.7083783801
42	0.7060273632
43	0.7031972162
44	0.6999738998
45	0.6975537554
46	0.6952107294
47	0.6932795834
48	0.6902384537
49	0.6876118451
50	0.6854046723
51	0.6834776697
52	0.6817956042
53	0.680187691
54	0.6770873364
55	0.6751542081
56	0.6730365711
57	0.6703909047
58	0.6680317387
59	0.6664591566
60	0.6640283758
61	0.6624390262
62	0.6607110724
63	0.658306148
64	0.6570107085
65	0.6558018136
66	0.6544438152
67	0.6527654355
68	0.6507940089
69	0.6492586303
70	0.647753762
71	0.6463719137
72	0.6448403223
73	0.6437059251
74	0.6417212376
75	0.640150767
76	0.6383982275
77	0.6369894646
78	0.6356178769
79	0.633655964
80	0.6327624704
81	0.6307356597
82	0.6296412819
83	0.6285280901
84	0.6281644989
85	0.6273448937
86	0.6255451475
87	0.6240785209
88	0.6230569209
89	0.6226384132
90	0.6202434798
91	0.6195734973
92	0.6178724933
93	0.6162121337
94	0.6147625628
95	0.6141319813
96	0.6134358759
97	0.6120157395
98	0.6104491153
99	0.6090098582
100	0.6082794214
101	0.6077595486
102	0.6068734092
103	0.6056747435
104	0.6046916534
105	0.6031981543
106	0.6023766926
107	0.6012129868
108	0.6009688359
109	0.6004659247
110	0.5994066801
111	0.5988907944
112	0.5983332153
113	0.5981304392
114	0.5971267045
115	0.5970194432
116	0.5964680253
117	0.5950256945
118	0.594232968
119	0.5932112346
120	0.5924939146
121	0.5919036131
122	0.5904962529
123	0.5900090106
124	0.5891032774
125	0.588098336
126	0.5877656124
127	0.5876046799
128	0.5867135237
129	0.586247569
130	0.5853614428
131	0.58450505
132	0.5843074823
133	0.583059011
134	0.5827360363
135	0.5825537762
136	0.5821504729
137	0.5819196135
138	0.5813095687
139	0.580479403
140	0.5791648558
141	0.5784140076
142	0.5775222434
143	0.5770993045
144	0.5762644713
145	0.5750288895
146	0.5746954715
147	0.5737613611
148	0.5731353122
149	0.5725856351
150	0.5718413459
151	0.5712007597
152	0.569939731
153	0.5697749887
154	0.5687324974
155	0.5678663528
156	0.5672810893
157	0.5670559012
158	0.5668582901
159	0.5660274452
160	0.5652294266
161	0.5645572415
162	0.5639821107
163	0.5631691608
164	0.5630192263
165	0.562453254
166	0.561725648
167	0.561560449
168	0.5609037841
169	0.5603890628
170	0.5602223423
171	0.5600542232
172	0.5598807704
173	0.5597180513
174	0.5595602417
175	0.5592882722
176	0.5590822087
177	0.5589062348
178	0.558685317
179	0.5578063554
180	0.5576400329
181	0.5574231951
182	0.5573002487
183	0.5566879178
184	0.5563279387
185	0.5561579958
186	0.5559663007
187	0.5557384146
188	0.5555478359
189	0.5553823066
190	0.5551872461
191	0.5549939948
192	0.5539741999
193	0.5537809222
194	0.5528567191
195	0.5526949755
196	0.5525324831
197	0.5523639906
198	0.551511655
199	0.5513517621
200	0.5512064314
201	0.5503125828
202	0.5500940576
203	0.5499336121
204	0.5492341728
205	0.549012346
206	0.5478384758
207	0.5468771526
208	0.5467011796
209	0.5465384091
210	0.5462892504
211	0.5456488761
212	0.5454411303
213	0.5452628568
214	0.5448891523
215	0.5447227153
216	0.5445678894
217	0.5433920493
218	0.5427963386
219	0.5419435961
220	0.5417629546
221	0.5416145663
222	0.5414134953
223	0.5412793507
224	0.541105983
225	0.5408991478
226	0.5404744392
227	0.5403293765
228	0.5395734306
229	0.5394168663
230	0.5392118775
231	0.5390249227
232	0.5383445654
233	0.53820809
234	0.5379872459
235	0.537792723
236	0.5376434375
237	0.5374490259
238	0.5370721988
239	0.5368932115
240	0.5365055291
241	0.5363721925
242	0.5362413049
243	0.5354555567
244	0.5353260818
245	0.5347944899
246	0.5345991288
247	0.5344714729
248	0.5343464165
249	0.5335103584
250	0.5328154502
251	0.5326934835
252	0.5325141679
253	0.5323059545
254	0.5321864715
255	0.5320686702
256	0.5316351664
257	0.5312995585
258	0.5311303804
259	0.5309548253
260	0.53055932
261	0.5298364632
262	0.5297213335
263	0.5296049704
264	0.5294907605
265	0.5293152604
266	0.5286186538
267	0.5284614823
268	0.5276047473
269	0.5274929229
270	0.5272532935
271	0.5259815045
272	0.5258713671
273	0.5249386584
274	0.5245181792
275	0.5243558288
276	0.5242005214
277	0.5231929764
278	0.52308472
279	0.5222552349
280	0.5213844272
281	0.5212099491
282	0.5211033629
283	0.5209489992
284	0.520791415
285	0.5199787537
286	0.5190185312
287	0.5188720368
288	0.5173886583
289	0.5172847338
290	0.5169653309
291	0.5156186984
292	0.5148343409
293	0.514348875
294	0.5137256373
295	0.5136219343
296	0.5134786649
297	0.5133753838
298	0.5130281827
299	0.5128836649
300	0.5127260375
301	0.5117761529
302	0.5116742649
303	0.5115299116
304	0.5114294322
305	0.5112620286
306	0.5107508364
307	0.5106151434
308	0.5105151032
309	0.5097592479
310	0.5096215343
311	0.5095232716
312	0.5085523319
313	0.5079614164
314	0.5078642921
315	0.5077680981
316	0.5069975692
317	0.5068605161
318	0.5063517961
319	0.5056966757
320	0.5056013319
321	0.5051749458
322	0.5050225566
323	0.5048944635
324	0.5048006105
325	0.5040846348
326	0.5033949359
327	0.503302491
328	0.5022074152
329	0.5020667066
330	0.5019749414
331	0.5018462229
332	0.5017548719
333	0.5014719948
334	0.5000419184
335	0.4993223617
336	0.4992326864
337	0.4984400669
338	0.4983153978
339	0.4982264561
340	0.4980909125
341	0.4980032587
342	0.4979167138
343	0.4971853363
344	0.4970997099
345	0.495989288
346	0.4958509316
347	0.4949752127
348	0.4943442002
349	0.4937227827
350	0.493004674
351	0.4921659682
352	0.4920808376
353	0.4919972211
354	0.4918703194
355	0.4911151146
356	0.4909848588
357	0.4908608654
358	0.4905700858
359	0.4904863332
360	0.4899664275
361	0.4889474304
362	0.4878977223
363	0.4875979574
364	0.4874646678
365	0.4870568255
366	0.4869352267
367	0.4862122354
368	0.4861297943
369	0.4854653213
370	0.4846527101
371	0.4841404585
372	0.4834640411
373	0.4833142657
374	0.4825539343
375	0.4821405637
376	0.4820211781
377	0.4819398251
378	0.4818598169
379	0.4817476677
380	0.4804871955
381	0.4803624924
382	0.4798180507
383	0.4791291943
384	0.4784431056
385	0.4778683324
386	0.4777883438
387	0.477159085
388	0.4770276034
389	0.4764169808
390	0.4763354518
391	0.475385662
392	0.4751382553
393	0.4747609682
394	0.4735338726
395	0.4729811523
396	0.4725514558
397	0.4724729861
398	0.4716032819
399	0.4714771194
400	0.4704492582
401	0.4697895631
402	0.4697108403
403	0.4696333195
404	0.4688385308
405	0.4687587896
406	0.4683041844
407	0.4681863216
408	0.46811038
409	0.4679330212
410	0.4671402593
411	0.4670619844
412	0.4664085323
413	0.4654757237
414	0.4654012102
415	0.4652877545
416	0.4652139591
417	0.4651375842
418	0.4645190806
419	0.4637947186
420	0.4632227598
421	0.4627854995
422	0.4626645718
423	0.4625153855
424	0.4620550679
425	0.4619516412
426	0.4608451751
427	0.4602277082
428	0.4597355867
429	0.4591102739
430	0.4583568899
431	0.4582840572
432	0.458004041
433	0.4575006535
434	0.4574286044
435	0.4573536262
436	0.4566117548
437	0.4564943608
438	0.4564238264
439	0.4562831391
440	0.4556186669
441	0.4555260989
442	0.4554556292
443	0.4553440276
444	0.4552756179
445	0.4552035206
446	0.4551315331
447	0.4550276126
448	0.454135851
449	0.4533525611
450	0.4532382537
451	0.4531667153
452	0.4526308537
453	0.4525174389
454	0.4520465737
455	0.4519225277
456	0.4515113148
457	0.4514438927
458	0.4513733993
459	0.4512658319
460	0.4507948547
461	0.4505145939
462	0.449997131
463	0.4495519932
464	0.4494407274
465	0.4490425202
466	0.448972481
467	0.4488581069
468	0.4487887256
469	0.4486865271
470	0.4486217155
471	0.4485532059
472	0.4477247476
473	0.447278698
474	0.4472148873
475	0.4469193716
476	0.4465720741
477	0.4463093373
478	0.4462016018
479	0.4461007065
480	0.4458179717
481	0.4457502067
482	0.4456875168
483	0.4451948263
484	0.4445768397
485	0.4444726754
486	0.444264431
487	0.4436033704
488	0.4434433824
489	0.4432345054
490	0.4431245826
491	0.4428864712
492	0.4420134714
493	0.441890843
494	0.441171074
495	0.4411032441
496	0.4400669392
497	0.4391464893
498	0.4384088301
499	0.4383033366
500	0.4373913611
501	0.4373283082
502	0.4366025439
